Domingo; ; ; ;
Segunda-feira;;;;
Terça-feira;Atendimento;Biologia;08:30;10:00
Quarta-feira;;;;
Quarta-feira;;;;
Quinta-feira;;;;
Quinta-feira;;;;
Quinta-feira;;;;
Quinta-feira;;;;
Sexta-feira;;;;
Sexta-feira;;;;
Sexta-feira;;;;
Sábado;;;;
